-8242929.242144837, 4966676.619756056
-8242941.5571971815, 4966701.789818292
-8242919.225848296, 4966670.139680137
-8242920.203585217, 4966677.813571874
-8242945.924792194, 4966716.632109079
-8242927.567171974, 4966690.145856648
-8242926.106733248, 4966697.148882677
-8242919.192170944, 4966688.880748894
-8242938.873859195, 4966718.416125043
-8242919.984477359, 4966696.287102728
-8242871.104549874, 4966710.032238436
-8242852.3362929905, 4966717.685920679
-8242843.567425615, 4966706.742407862
-8242843.273203466, 4966713.719892671
-8242827.056487597, 4966702.848961618
-8242861.545037375, 4966756.594497069
-8242856.961383653, 4966752.258766275
-8242787.739121758, 4966662.064867833
-8242784.533169601, 4966659.147492116
-8242853.321789501, 4966774.337995976
-8242730.672536181, 4966597.949852116
-8242891.886761291, 4966841.936336162
-8242851.277480198, 4966783.3455353305
-8242892.282152211, 4966847.631255793
-8242767.248356776, 4966668.941477586
-8242837.552573512, 4966771.514701345
-8242757.046629728, 4966662.193863763
-8242891.350425952, 4966858.244022569
-8242892.354217353, 4966867.0942727
-8242844.37982493, 4966800.154672526
-8242835.450056952, 4966794.103465632
-8242851.793996072, 4966818.8231595205
-8242833.989618226, 4966801.106491661
-8242776.98276448, 4966719.4267655825
-8242850.250820183, 4966834.247566656
-8242841.906447356, 4966822.208361006
-8242778.329837842, 4966731.619218556
-8242780.737385288, 4966743.06418216
-8242823.939644333, 4966813.367484499
-8242776.4618116, 4966764.795208397
-8242788.5914334385, 4966789.697732729
-8242833.888586172, 4966857.329697933
-8242804.826580916, 4966821.66244933
-8242806.7329949485, 4966826.690545153
-8242839.315130694, 4966875.407984781
-8242793.325315743, 4966817.025555614
-8242799.735695483, 4966826.843792477
-8242706.672586164, 4966701.6830942575
-8242654.857786622, 4966627.494429473
-8242784.921211084, 4966822.551060326
-8242779.172865359, 4966814.257385323
-8242776.39140775, 4966810.2443167735
-8242698.216372547, 4966704.85588218
-8242607.052054389, 4966604.640706937
-8242609.062686341, 4966614.37423634
-8242713.936665443, 4966766.255099874
-8242602.784103573, 4966606.454306021
-8242759.393194203, 4966832.978244586
-8242577.66824793, 4966578.758070177
-8242532.740431637, 4966515.644666211
-8242628.627960078, 4966671.072062353
-8242626.162205376, 4966673.20832368
-8242772.650781545, 4966888.546752746
-8242521.628459086, 4966532.636633849
-8242606.581685896, 4966656.345351972
-8242578.44835775, 4966618.032307454
-8242763.347103405, 4966889.927440907
-8242567.373111699, 4966608.316235474
-8242756.8034021165, 4966882.19438293
-8242755.3965969235, 4966887.566640319
-8242596.720191659, 4966660.906911853
-8242616.691528336, 4966695.415259484
-8242556.452667953, 4966609.641799294
-8242567.684240883, 4966626.416021644
-8242589.7765257275, 4966659.429390536
-8242613.084086961, 4966702.736905858
-8242592.521256837, 4966690.150498704
-8242607.090578898, 4966711.740403314
-8242697.974532791, 4966851.977305205
-8242691.666846396, 4966850.847987352
-8242648.775716534, 4966798.6444711825
-8242644.878626733, 4966800.993146074
-8242666.652159523, 4966835.824155949
-8242643.073381471, 4966808.637454691
-8242550.914419358, 4966675.671116733
-8242633.533688438, 4966803.414402728
-8242644.175292495, 4966838.127080125
-8242405.805616196, 4966733.350000165
-8242407.233902146, 4966741.104557463
-8242399.652732105, 4966743.262318113
